Index,firstName,lastName,mobile,email,percentage
1,daxa,ichchhuda,9999,"daxa@gmail.com
",12.2
2,daxa,ichchhuda,10000,"daxa@gmail.com
",13.2
3,daxa,ichchhuda,10001,"daxa@gmail.com
",14.2
4,daxa,ichchhuda,10002,"daxa@gmail.com
",15.2
5,daxa,ichchhuda,10003,"daxa@gmail.com
",daxa
6,daxa,ichchhuda,10004,"daxa@gmail.com
",17.2
7,daxa,ichchhuda,10005,"daxa@gmail.com
",18.2
8,daxa,ichchhuda,10006,"daxa@gmail.com
",19.2
9,daxa,ichchhuda,10007,"daxa@gmail.com
",SD
10,daxa,ichchhuda,10008,"daxa@gmail.com
",21.2
11,daxa,ichchhuda,10009,"daxa@gmail.com
",22.2
12,daxa,ichchhuda,10010,"daxa@gmail.com
",23.2
13,daxa,ichchhuda,10011,"daxa@gmail.com
",24.2
14,daxa,ichchhuda,10012,"daxa@gmail.com
",25.2
15,daxa,ichchhuda,10013,"daxa@gmail.com
",26.2
16,daxa,ichchhuda,10014,"daxa@gmail.com
",27.2
17,daxa,ichchhuda,10015,"daxa@gmail.com
",28.2
18,daxa,ichchhuda,10016,"daxa@gmail.com
",29.2
19,daxa,ichchhuda,10017,"daxa@gmail.com
",30.2
20,daxa,ichchhuda,10018,"daxa@gmail.com
",31.2
21,daxa,ichchhuda,10019,"daxa@gmail.com
",32.2
22,daxa,ichchhuda,10020,"daxa@gmail.com
",33.2
23,daxa,ichchhuda,10021,"daxa@gmail.com
",34.2
24,daxa,ichchhuda,10022,"daxa@gmail.com
",35.2
25,daxa,ichchhuda,10023,"daxa@gmail.com
",36.2
26,daxa,ichchhuda,10024,"daxa@gmail.com
",37.2
27,daxa,ichchhuda,10025,"daxa@gmail.com
",38.2
28,daxa,ichchhuda,10026,"daxa@gmail.com
",39.2
29,daxa,ichchhuda,10027,"daxa@gmail.com
",40.2
30,daxa,ichchhuda,10028,"daxa@gmail.com
",41.2
31,daxa,ichchhuda,10029,"daxa@gmail.com
",42.2
32,daxa,ichchhuda,10030,"daxa@gmail.com
",43.2
33,daxa,ichchhuda,10031,"daxa@gmail.com
",44.2
34,daxa,ichchhuda,10032,"daxa@gmail.com
",45.2
35,daxa,ichchhuda,10033,"daxa@gmail.com
",46.2
36,daxa,ichchhuda,10034,"daxa@gmail.com
",47.2
37,daxa,ichchhuda,10035,"daxa@gmail.com
",48.2
38,daxa,ichchhuda,10036,"daxa@gmail.com
",49.2
39,daxa,ichchhuda,10037,"daxa@gmail.com
",50.2
40,daxa,ichchhuda,10038,"daxa@gmail.com
",51.2
41,daxa,ichchhuda,10039,"daxa@gmail.com
",52.2
42,daxa,ichchhuda,10040,"daxa@gmail.com
",53.2
43,daxa,ichchhuda,10041,"daxa@gmail.com
",54.2
44,daxa,ichchhuda,10042,"daxa@gmail.com
",55.2
45,daxa,ichchhuda,10043,"daxa@gmail.com
",56.2
46,daxa,ichchhuda,10044,"daxa@gmail.com
",57.2
47,daxa,ichchhuda,10045,"daxa@gmail.com
",58.2
48,daxa,ichchhuda,10046,"daxa@gmail.com
",59.2
49,daxa,ichchhuda,10047,"daxa@gmail.com
",60.2
50,daxa,ichchhuda,10048,"daxa@gmail.com
",61.2
51,daxa,ichchhuda,10049,"daxa@gmail.com
",62.2
52,daxa,ichchhuda,10050,"daxa@gmail.com
",63.2
53,daxa,ichchhuda,10051,"daxa@gmail.com
",64.2
54,daxa,ichchhuda,10052,"daxa@gmail.com
",65.2
55,daxa,ichchhuda,10053,"daxa@gmail.com
",66.2
56,daxa,ichchhuda,10054,"daxa@gmail.com
",67.2
57,daxa,ichchhuda,10055,"daxa@gmail.com
",68.2
58,daxa,ichchhuda,10056,"daxa@gmail.com
",69.2
59,daxa,ichchhuda,10057,"daxa@gmail.com
",70.2
60,daxa,ichchhuda,10058,"daxa@gmail.com
",71.2
61,daxa,ichchhuda,10059,"daxa@gmail.com
",72.2
62,daxa,ichchhuda,10060,"daxa@gmail.com
",73.2
63,daxa,ichchhuda,10061,"daxa@gmail.com
",74.2
64,daxa,ichchhuda,10062,"daxa@gmail.com
",75.2
65,daxa,ichchhuda,10063,"daxa@gmail.com
",76.2
66,daxa,ichchhuda,10064,"daxa@gmail.com
",77.2
67,daxa,ichchhuda,10065,"daxa@gmail.com
",78.2
68,daxa,ichchhuda,10066,"daxa@gmail.com
",79.2
69,daxa,ichchhuda,10067,"daxa@gmail.com
",80.2
70,daxa,ichchhuda,10068,"daxa@gmail.com
",81.2
71,daxa,ichchhuda,10069,"daxa@gmail.com
",82.2
72,daxa,ichchhuda,10070,"daxa@gmail.com
",83.2
73,daxa,ichchhuda,10071,"daxa@gmail.com
",84.2
74,daxa,ichchhuda,10072,"daxa@gmail.com
",85.2
75,daxa,ichchhuda,10073,"daxa@gmail.com
",86.2
76,daxa,ichchhuda,10074,"daxa@gmail.com
",87.2
77,daxa,ichchhuda,10075,"daxa@gmail.com
",88.2
78,daxa,ichchhuda,10076,"daxa@gmail.com
",89.2
79,daxa,ichchhuda,10077,"daxa@gmail.com
",90.2
80,daxa,ichchhuda,10078,"daxa@gmail.com
",91.2
81,daxa,ichchhuda,10079,"daxa@gmail.com
",92.2
82,daxa,ichchhuda,10080,"daxa@gmail.com
",93.2
83,daxa,ichchhuda,10081,"daxa@gmail.com
",94.2
84,daxa,ichchhuda,10082,"daxa@gmail.com
",95.2
85,daxa,ichchhuda,10083,"daxa@gmail.com
",96.2
86,daxa,ichchhuda,10084,"daxa@gmail.com
",97.2
87,daxa,ichchhuda,10085,"daxa@gmail.com
",98.2
88,daxa,ichchhuda,10086,"daxa@gmail.com
",99.2
89,daxa,ichchhuda,10087,"daxa@gmail.com
",100.2
90,daxa,ichchhuda,10088,"daxa@gmail.com
",101.2
91,daxa,ichchhuda,10089,"daxa@gmail.com
",102.2
92,daxa,ichchhuda,10090,"daxa@gmail.com
",103.2
